1696929307.1333115,s
1696929420.1393921,f
1696929442.400019,s
1696929560.4417095,f
1696929625.5092914,s
1696929743.1071649,f
1696929764.101589,s
1696929966.4663668,f
1696930030.4075713,s
1696930148.0308757,f
1696930167.8903759,s
1696930328.164617,f
1696930349.6049256,s
1696930467.661921,f
1696930491.338313,s
1696930608.9442961,f
1696930682.1443872,s
1696930797.5785408,f
1696930819.9612758,s
1696930979.1121817,f
1696930999.7457588,s
1696931112.3423746,f
1696931134.8646836,s
1696931249.8794286,f
1696931270.0887794,s
1696931431.1242056,f
1696931450.828548,s
1696931607.8972301,f
1696931630.1019316,s
1696931788.1548781,f
1696932912.3399222,s
1696933197.223346,f
1696933217.8594654,s
1696933421.7569752,f
1696933443.2677193,s
1696933522.0950122,f
1696933541.1706254,s
1696933658.501225,f
1696933680.1954558,s
1696933796.5123518,f
1696933816.7032325,s
1696933939.075239,f
1696933959.5288785,s
1696934156.2965262,f
1696934176.8876798,s
1696934333.0068138,f
1696934354.2283719,s
1696934467.3608704,f
1696934532.8895886,s
1696934650.3507109,f
1696934671.8515358,s
1696934790.677183,f
1696934812.1770058,s
1696934971.0179915,f
1696935043.6652331,s
1696935201.4155335,f
1696935221.1986918,s
1696935338.5791826,f
1696935359.0250936,s
1696935473.315369,f
